userName,score,content,at
Samani Kucing611,1,coba aplikasi ini ga ber pungsi,2026-02-17 13:11:39
Fhandra Aqzardila,5,suka banget maen nya tapi kadang suka ngelag tapi tetap bagus kok,2026-02-17 13:11:34
Lynxxy 1234,1,"anj bgt, udh berusaha minta bantuan ke org"" buat potong harga malah ga bisa d cakout emg anj",2026-02-17 13:09:44
Rendi Rendi,5,untuk nonton pas,2026-02-17 13:09:31
Sembarang Sembarang,1,kenapa saya tidak diizinkan mengikuti event tiktok Rp 100 perak?,2026-02-17 13:09:27
aura rara,3,candu,2026-02-17 13:07:26
Shahril Ade,2,huhuhhh gimana sih tiktok kan aku mau bikin akun ya di suruh masukin tanggal lahir nah pas udah kok ga bisa padahal dah benar dan saya coba ngasal tapi tetep aja ga bisa 😡,2026-02-17 13:06:34
M Pulungan,2,gak ada bagus2 nya,2026-02-17 13:06:24
Resky,5,tapi bisa liv ya,2026-02-17 13:00:04
Akil 2010,5,belum dapat event potongan harga,2026-02-17 12:59:54
Cristian Karianto,4,"sebenarnya sudah bagus tapi tolong ditambahkan fitur untuk mengedit,seperti kunci kroma&splice,dan jika ada bug tolong dihapus🤞",2026-02-17 12:52:42
M khoiru Solihin,5,hai pengguna tik tok aku suka tik tok,2026-02-17 12:51:31
Lamoanak 95,5,aplikasinya bagus buat hiburan untuk menghilangkan rasa cape.,2026-02-17 12:50:10
Iya Kamu,3,GK bisa liat postingan orang,2026-02-17 12:49:53
Om Hamim,5,BaGus,2026-02-17 12:49:41
Zahra Oktora,3,agak gak suka sama tiktok akun aku udah lebih dari 13 diblokir,2026-02-17 12:48:40
Wahyuni 14,5,"cinta banget gue sama ni aplikasi, semoga yang bikin aplikasi ini masuk surga, i love uu",2026-02-17 12:48:10
Jumria Ria,4,bagus banget,2026-02-17 12:47:58
Barok Treking sentul,4,mantep,2026-02-17 12:47:25
kalila sabrina,1,"Hai, aku kan mw verifikasi umur, nh aku di atas 16 pas aku verifikasi biar bisa chatan, ak udah photo segala macam tapi tetep aja ga bisa, udh nunggu 2mnt ttp ga bisa, aku harus gimana yaa? tolong dong jangan di buat susah...",2026-02-17 12:47:11
Elzahra Channel,4,"aplikasi ini bagus tapiii... kalo aku mau buka tik tok gk bisa cuma ada logo nya vidio nya gak ada dan suka keluar sendiri padahal koneksi berjalan lancar,tolong diperbaiki ya",2026-02-17 12:46:32
Maisie Nadifa,1,"tolong lah bug nya diperbaiki, masa kalo aku balesin komen temenku tuh ternyata komennya ga muncul? padahal di akun sendiri itu ada loh..gajelas ah",2026-02-17 12:45:57
Abdul Mui'z,4,bagus buat nyantai,2026-02-17 12:45:55
Melinda,5,membantu,2026-02-17 12:45:35
OWELL RESEE,1,makin jelek,2026-02-17 12:42:34
Subwaysubr Jokobah,1,"lah kok fitur download videonya jadi 200, kemana download 400 video nya, tolong lah tambahin sampai 1000 video kek tapi untuk sebulan gitu, kemaren udah bagus loh ada, nanti kalau udah muncul lagi 400 videonya baru kasi bintang lima lagi",2026-02-17 12:42:34
Sri Hartati,2,tiktok aku gak bisa di buka gatau kenapa padahal udah ku uninstall trs ku download lagi tapi masih tetep gak bisa,2026-02-17 12:41:51
Fezilla Audina,5,aplikasi nya seru cuman kalo gak ad paket tolong bisa di pakek donnngggg,2026-02-17 12:41:02
Ahmad Beni,5,ok,2026-02-17 12:40:22
Asep Arif,5,tidak ada even diskon tiktok shop nya,2026-02-17 12:39:25
Khanza Ainun,1,"sebel bgt tiktok error terus, tiktok shop & pesan & streak aku ilang semua karna habis di update :c",2026-02-17 12:38:49
mell lalaala,1,"benci,ada batasan usia.",2026-02-17 12:38:28
Nazwa Nasifa,5,bagus anjaii,2026-02-17 12:36:02
Siti Lutpiah,4,"bagus banget tapi kenapa tidak bisa foto tata letak ga fake filter tolong perbaiki, hp yang lain bisa",2026-02-17 12:33:36
Lyla Adit,4,niku akun ku loh diben kale azhar,2026-02-17 12:32:18
Dila Cyntia,5,bagus bangat,2026-02-17 12:31:23
Widia Putri,5,seri,2026-02-17 12:31:14
Arya Ramdhansyah,1,lah kok aku gak ada pet strike nya padahal udah sering update,2026-02-17 12:30:42
Rezky Alfatih,3,"terlalu banyak menguras data internet, walupun aplikasi nya bagus",2026-02-17 12:30:33
Galuh Wilujeng 2311,3,"suka ngebug +ngeleg, terus ga bisa buka komentar tolong di perbaiki lgi uyh",2026-02-17 12:30:01
Rait Safoan,5,top,2026-02-17 12:29:56
Ini Orang,1,woii apk lu suka eror kalo mau di buka,2026-02-17 12:29:06
Vesya Salsa,2,"awal' tt nya bagus, ngga ada kendala, tp kemarin aku baru dpt kendala, kenapa tt ku ngga bisa buka komen, ngga bisa nge like vid yg ada, dll, tp buat ngescroll lancar bgt. tt ku kayak gitu pas aku pake wifi rumah doang, pas pake kuota semua bisa. wifi rumah lancar kok, hp adekku aja bisa buat komen sama like, tp kenapa dihp ku ngga bisa?. aku udh mulai ulang hp ku 2 kali, udh nyopot wifi rumah trus aku pasang lagi, tp tetep aja ngga bisa. tolong dibenerin",2026-02-17 12:27:42
zahra arsyifa21,1,"tiktok nya gabisa buka komen, mau like video aja gabisa apalagi liat akun sendiri, susah jadinya liat video, jadi jelek bgt tolong tiktok jangan ngebug lama lama la, susah gabisa liat apa apa di tiktok.",2026-02-17 12:26:06
Alfu Lailatuljannah,3,aplikasi tiktok ku kok gak bisa di buka?😭,2026-02-17 12:24:16
Wardi Yasa,5,plisss deh ini menarik bangett,2026-02-17 12:20:57
joko dwi atmojo,1,video nya ga muncul muncul udh di restart sama aja,2026-02-17 12:20:53
Elvano Reza,1,hadeh ada lagi aja sekarang gabisa buka komentar karna jaringan padahal di aplikasi lain bisa disini doang gabisa makanya jangan banyak update yang gak penting ngapasi nyusahin org,2026-02-17 12:19:34
Marshapebrian Sopyan,1,"tiktok ihh aku gak ada potongan harga nya😭😭, tiktok pilihhh kasihh orang orangg adaaa aku gak ada bencii😭",2026-02-17 12:18:21
Siti Susanti,1,saya tidak pernah mendaftarkan event apapun dari TikTok,2026-02-17 12:18:04
ARBI ANJAY•βαβI,5,bagus sekali tidak hanya vidio tetapi tik tok ini bisa belanja,2026-02-17 12:16:29
Hasif Kayana,5,bagus!,2026-02-17 12:14:23
Widiawati iwit,1,jelek 🤬👎👎👎👎👎,2026-02-17 12:14:04
Juragan Sol,3,kumaha sih tiktok teh te bisa buka komen nga loading wae padahal make wifi te lemot wifi na kmha sih ku urg engges dihapus trs di download dei kadon siga tiktok lite lain tiktok biasa kmha sih sing benerken hela ih,2026-02-17 12:13:48
Taufan Pradenata,1,"tolong, setelah diupdate fitur tiktokshop kok hilang dan tidak bisa diakses. tolong dipulihkan lagi wahai tiktok. saya selaku user tiktok cukup resah dengan kejadian ini, tolong kembalikan fitur tiktokshop seperti semula agar bisa diakses kembali",2026-02-17 12:10:28
Fahmi aqws,1,kenapa event potong tiba tiba hilang? padahal tadi pagi masih ada progres nya udah 25 persen lho,2026-02-17 12:10:20
ANDRI ANSYAH,5,kenapa ku live tiba tiba aplikasi nya malah restart sendiri 🗿,2026-02-17 12:10:06
Syg Mama,5,Keren banget 🤩,2026-02-17 12:09:27
Menara Paris,5,"tiktok kenapa kamu blok akun saya pliss buka blok nya tiktok saya selalu liat tiktok tapi percuma saya selalu liat tiktok karna kamu blok akun aku aku suka tiktok walaupun tiktok udah blok akun aku, aku tetap kasih bintang 5 itu aja yang aku sampaikan tiktok, i love tiktok",2026-02-17 12:09:08
ASSALAMUALAIKUM,5,bisa menghasilkan uang dari menonton,2026-02-17 12:09:00
Hisma Alipo,5,mantap,2026-02-17 12:06:49
Aufar Arsakha,1,blokir video porno,2026-02-17 12:04:33
third child,4,"ini knp ga bisa discroll di bagian ""saran""",2026-02-17 12:04:15
Septimu'a Fida,5,kak tik tok ku tidak ada tik tok shop ya,2026-02-17 12:03:43
adira sofia,1,"tiktok knp si, stiap saya mau posting video/ foto selalu muncul tulisan foto/video ini tidak tersedia",2026-02-17 12:03:20
Feri Al gofari,5,bagus banget,2026-02-17 12:00:20
Panji,5,bagus saya suka,2026-02-17 12:00:08
FZ FK,1,"halo tiktok sudah berulang saya infokan akun saya gak bisa menemukan promo yang disebutkan, padahal sudah klik tag lokasi.",2026-02-17 11:58:40
Syarifah Rahima,5,"SENGAJA SAYA KASIH RANTING SEGITU BIAR DI BACA,TIK TOK MAKIN KE SINI ISIAN GA JELAS JELAS,BISA BISANNYA VIDEO VULGAR ORANG DEWASA LULUS DI TIK TOK, SUMPAH TOLONG ISI TIK TOK DENGAN ISIAN YG BERMUTU, TOLONG DI BACA, MOHON PERBAIKAN NYA,INI UNTUK WASPADA ANAK""YG TIDAK SENGAJA MELIHAT SEPERTI ITU, TOLONG TIK TOK BLOK VIDEO VIDEO SEPERTI ITU SAYA MOHON KEDEPAN KK LEBIH DI PERHATIKAN LAGI",2026-02-17 11:58:31
Kazey turki 1,1,SUMPAH YA MKST LU APAAN SIH NGADAIN EVENT UDAH NGEMIS SANA SINI BUAT TAP LINK MANA DISPAM PERAK. PAS UDAH 80% MALAH ILANG FITURNYA ASTAGAAAAAA,2026-02-17 11:58:05
Ulfa Ulfa azizah,3,tiktok sangat menyerukan akan tetapi tiktokini bisa di blokir oleh orang,2026-02-17 11:56:26
Elis Asifah,1,tiktok kenapa sih!? masa mau buka tiktok stuck di logo tiktoknya?? tolong perbaiki lahh!?,2026-02-17 11:55:26
SMDDEV 21 (susanto),3,min di tiktok nya gaada toko huat belanja,2026-02-17 11:54:56
Adhiepraboe,1,"kenapa setiap aku bikin akun dan ngepost vidio itu langsung di blokir?,padahal followwer ku udah banyak banget pilih kasih bet",2026-02-17 11:52:51
Fadilla.imbuinga,1,"aplikasi ini sangat menjengkelkan kalau lagi di pencarian dan keluar, pasti video yg di cari pasti masih terputar di latar belakangnya tolong di lebih baikan lagi",2026-02-17 11:52:11
Johanes Panjaitan,1,kenapa muncul iklan tiba2,2026-02-17 11:51:54
Rizky Nurul bahar,5,bagus,2026-02-17 11:50:12
Restu,4,"halo min, kenapa ya tiktok aku gabisa dibuka komentar nya, pas mau liat komen malah ""tidak ada internet"" atau mau buka apa apa selalu loading terus gabisa repost, padahal internet lancar. padahal liat live sama liat vt juga bisa tapi gabisa liat komen. mohon bantuannya yaa",2026-02-17 11:48:24
Siti Khotijah,1,"masuknya lama ,loding terus ,males ah ,harus di perbaiki sekarang ya 🙂‍↕️ kalau ga akan ku demo tiktok ‼️",2026-02-17 11:46:50
Tauhid Tauhid,3,"gatau kenapa suka loading mulu, wifi tetap stabil, udh update, udh bersihin gache dan sekalian juga data, tapi hasil sama aja, ini bug atau server yang masalah, tolong balas dan Terima kasih🙏",2026-02-17 11:44:30
Aidil Telor,5,Vidio nya enak banget,2026-02-17 11:43:56
bila montong,5,sukaa,2026-02-17 11:43:27
Hana Mulya,5,"berikan saya fitur potongan harga, tempat daya tidak sda",2026-02-17 11:42:44
Lhindaa Shukarna,4,kadang suka berat,2026-02-17 11:42:37
KIPAS,5,kemabalilan akun saya yg lama,2026-02-17 11:36:58
Botbot Bort,5,"bagus, bisa juga digunakan sebagai alat komunikasi jauh",2026-02-17 11:33:11
Fann4u-!!,1,"ga bisa buka komen, udah coba instal ulang ttep ga bisa, trus ga bisa login juga",2026-02-17 11:33:07
Gavinputra Ahmad,4,aplikasi ini terlalu ngebug tapi bagus banget,2026-02-17 11:32:20
Safitri Ajha,3,min kenapa di aku nggaa ada fitur potongan harga nya? tolong munculin fitur potongan harga biar sama kayak yang lain,2026-02-17 11:31:47
kamariah ria,5,tiktok baik,2026-02-17 11:31:25
Ipang Permanasaputra,5,mohon petbaiki sistem tiktok ku,2026-02-17 11:31:21
Dea Maulida putri,1,translate Indonesia: ini kenapa ya banyak banget kerusakan nyaa saya mau login ulang tidak bisa karena banyak profil orang lain jadi abu-abu saya berniat menghapus tiktok lalu pas mau login ulang malah ga bisa pake nomor telepon dan email juga tidak bisaaa.,2026-02-17 11:30:43
Phantom pakai H,1,"akun gua disuruh vertifikasi gara2 kena pembatasan usia tapi pas mau vertifikasi ""kamu tidak dapat melakukan vertifikasi"" how?",2026-02-17 11:28:33
Gen Jiehhh,3,kok ada bug nya saat baca komen GK bisa .,2026-02-17 11:27:57
rahmawati wati,3,kenapa apil kasi ga bisa di bukan,2026-02-17 11:25:24
Feni Novitadiyaaa,5,"bagusss bgtt filter baruu nyaa, tapi saya ga bisa update tiktok lagiii",2026-02-17 11:25:00
su san,5,karna bisa skrol tiktok,2026-02-17 11:24:44
Rohani,5,bagus tapi ada yang kurang terhadap foto dan video yang saya upload menjadi buruk. tolong berpaiki lagi dong komunitas tiktok.,2026-02-17 11:23:30
nurul april,1,"layanan nya kurang memuaskan kan masa setiap satu bulan sekali akun tiktok aku ke blok Mulu sih tolong ya lebih di perbaiki soal nya setiap Akau mau memulihkan aku nggak bisa Mulu malah kembali terus ke beranda,maaf ka sama satu lagih kenapa ya aplikasi nya seperti aplikasi TikTok lite Dan nggak bisa memposting ulang jadi saya mengunduh TikTok yang asli namun tombol tombol nya seperti TikTok lite,mohon di jawab yah ka",2026-02-17 11:21:52
Teguh Santoso,5,apk nya sangat bagus untuk menonton video ataupun foto-foto dengan efek yg kreatif dan keren,2026-02-17 11:21:36
Elmy Aldehla,5,download ini cmn mau dpett koian potong harga belanja di tiktok haha🤣🤣,2026-02-17 11:20:53
Saskia Ramadhani,1,"kenapa tiba tiba cuman bisa scroll aja untuk hal lain ga bisa, liat komen ga bisa liat apapun ga bisa, mau laporin masalah tapi ga bisa",2026-02-17 11:18:34
